Id,Name,Email,Address,Username,Password
1,Nguyen Dinh Dung,Dungnd@gmail.com,Go Vap Ho Chi Minh, Nguyendung1990, dungnguyenmanager123
2,John Doe,johndoe@example.com,123 Main St, johndoe123, password123
3,Jane Smith,janesmith@example.com,456 Elm St, janesmith456, secret456
4,Michael Johnson,michaeljohnson@example.com,789 Oak St, michaelj789, securepass
5,Emily Brown,emilybrown@example.com,101 Pine St, emily101, p@ssw0rd
6,Chris Davis,chrisdavis@example.com,234 Maple St, chrisd234, qwerty123
7,Amy Wilson,amywilson@example.com,567 Cedar St, amyw567, ilovecoding
8,David Martinez,davidmartinez@example.com,890 Birch St, davidm890, mypassword
9,Sarah Thompson,sarahthompson@example.com,111 Walnut St, sarah111, strongpass
10,Alexander Lee,alexanderlee@example.com,222 Spruce St, alexlee222, password1234
