stu_id,stu_name,stu_phone,stu_mail,stu_address
S1,Tran Minh Hieu,11111,hieu@gmail.com,Hai Phong
S2,Pham Huy Hoang,22222,hoang@gmail.com,Tp Ho Chi Minh 
S3,Nguyen Phi Hao,33333,hao@gmail.com,Tp Ho Chi Minh 
S4,Nguyen Van Bao Loc,44444,loc@gmail.com,Ba Ria Vung Tau
S5,Nguyen Tran Hong Son,55555,son@gmail.com,Tp Ho Chi Minh 
S6,Nguyen Quoc Thai,66666,thai@gmail.com,Tp Ho Chi Minh 
S7,Tran Van A,77777,a@gmail.com,Tp Ho Chi Minh 
S8,Nguyen Van B ,88888,b@gmail.com,Tp Ho Chi Minh 
S9,Pham Van C,99999,c@gmail.com,Tp Ho Chi Minh 
S10,Tran Nguyen D,12345,d@gmail.com,Tp Ho Chi Minh 
